name,type,block_index,num_params,mean,std,abs_mean,skewness,kurtosis,sparsity_0.7,alpha_0.7,quant_error_0.7,weight_norm_l2,effective_rank,sensitivity_ratio,ternary_friendliness
model.layers.0.self_attn.q_proj,q_proj,0,4194304,-0.000007,0.016399,0.008953,-0.1899,142.2402,0.5854,0.018236,0.698050,33.5812,109.21,,
model.layers.0.self_attn.k_proj,k_proj,0,524288,-0.000099,0.031761,0.015253,-2.8520,297.1737,0.6334,0.034847,0.747424,22.9977,60.84,,
model.layers.0.self_attn.v_proj,v_proj,0,524288,0.000011,0.011016,0.008307,0.0047,0.8889,0.4666,0.013292,0.472689,7.9765,193.63,,
model.layers.0.self_attn.o_proj,o_proj,0,4194304,0.000001,0.008300,0.005558,0.0395,52.1982,0.5053,0.009377,0.607179,16.9978,179.03,,
model.layers.0.mlp.gate_proj,gate_proj,0,11534336,-0.000020,0.016552,0.012971,0.0032,1.5747,0.4307,0.019456,0.461869,56.2013,201.54,,
model.layers.0.mlp.up_proj,up_proj,0,11534336,-0.000001,0.016837,0.013335,0.0005,0.2439,0.4271,0.019906,0.446191,57.1700,203.72,,
model.layers.0.mlp.down_proj,down_proj,0,11534336,0.000004,0.016642,0.013087,-0.0146,1.7773,0.4306,0.019609,0.457650,56.5073,204.54,,
model.layers.1.self_attn.q_proj,q_proj,1,4194304,0.000003,0.029354,0.020622,-0.0104,4.9659,0.4904,0.034618,0.539641,60.1161,158.29,,
model.layers.1.self_attn.k_proj,k_proj,1,524288,-0.000011,0.047906,0.032102,0.0163,6.9964,0.5209,0.056818,0.571049,34.6882,120.48,,
model.layers.1.self_attn.v_proj,v_proj,1,524288,0.000009,0.013357,0.010209,-0.0056,0.7717,0.4572,0.016012,0.469004,9.6715,199.91,,
model.layers.1.self_attn.o_proj,o_proj,1,4194304,-0.000002,0.013681,0.010596,-0.0307,4.4898,0.4403,0.016107,0.473337,28.0197,199.61,,
model.layers.1.mlp.gate_proj,gate_proj,1,11534336,0.000001,0.018133,0.014390,0.0011,0.5190,0.4274,0.021466,0.444393,61.5768,198.01,1.0030,0.5539
model.layers.1.mlp.up_proj,up_proj,1,11534336,-0.000003,0.017281,0.013730,-0.0012,0.1594,0.4267,0.020469,0.442143,58.6813,204.20,,
model.layers.1.mlp.down_proj,down_proj,1,11534336,0.000002,0.017110,0.013563,-0.0051,1.1953,0.4258,0.020194,0.447223,58.0980,205.40,,
model.layers.2.self_attn.q_proj,q_proj,2,4194304,0.000030,0.032214,0.024317,-0.0053,1.8707,0.4587,0.038032,0.495441,65.9750,183.56,,
model.layers.2.self_attn.k_proj,k_proj,2,524288,0.000093,0.054196,0.039717,-0.0071,2.9966,0.4759,0.063989,0.519080,39.2429,161.50,,
model.layers.2.self_attn.v_proj,v_proj,2,524288,-0.000013,0.011771,0.009169,-0.0059,0.4149,0.4414,0.014015,0.456219,8.5230,199.80,,
model.layers.2.self_attn.o_proj,o_proj,2,4194304,-0.000003,0.014070,0.010770,-0.0327,15.4643,0.4379,0.016312,0.494441,28.8173,200.74,,
model.layers.2.mlp.gate_proj,gate_proj,2,11534336,-0.000046,0.018461,0.014586,-0.0456,11.8007,0.4262,0.021730,0.452785,62.6894,203.98,,
model.layers.2.mlp.up_proj,up_proj,2,11534336,-0.000002,0.017521,0.013934,-0.0033,0.2941,0.4248,0.020729,0.441275,59.4947,204.25,,
model.layers.2.mlp.down_proj,down_proj,2,11534336,0.000005,0.017435,0.013855,-0.0059,1.5585,0.4241,0.020594,0.443243,59.2032,203.42,9609.3000,0.0001
